time	V(out1)
1.372314626146379e+01	1.196680e-01
1.372383197574950e+01	1.180891e-01
1.372451769003522e+01	1.164623e-01
1.372520340432093e+01	1.147877e-01
1.372567483289236e+01	1.135995e-01
1.372614626146378e+01	1.123570e-01
1.372661769003521e+01	1.110600e-01
1.372708911860664e+01	1.097087e-01
1.372756054717807e+01	1.083031e-01
1.372803197574949e+01	1.068430e-01
1.372850340432092e+01	1.053286e-01
1.372880340432092e+01	1.043002e-01
1.372910340432092e+01	1.032146e-01
1.372940340432092e+01	1.020715e-01
1.372970340432092e+01	1.008710e-01
1.373000340432092e+01	9.961309e-02
1.373030340432092e+01	9.829782e-02
1.373060340432092e+01	9.692515e-02
1.373078911860663e+01	9.603629e-02
1.373097483289235e+01	9.508166e-02
1.373116054717806e+01	9.406125e-02
1.373134626146377e+01	9.297506e-02
1.373153197574949e+01	9.182309e-02
1.373171769003520e+01	9.060534e-02
1.373190340432091e+01	8.932181e-02
1.373210340432091e+01	8.777232e-02
1.373230340432091e+01	8.604155e-02
1.373250340432091e+01	8.406535e-02
1.373260340432091e+01	8.294638e-02
1.373270340432091e+01	8.173508e-02
1.373280340432091e+01	8.036119e-02
1.373290340432091e+01	7.881869e-02
1.373300340432091e+01	7.690758e-02
1.373310340432091e+01	7.466495e-02
1.373320340432091e+01	7.300390e-02
1.373321590432091e+01	7.233922e-02
1.373324090432091e+01	7.059990e-02
1.373327454441500e+01	6.888165e-02
1.373331133891625e+01	6.642533e-02
1.373332053754157e+01	6.551445e-02
1.373332858633871e+01	6.426058e-02
1.373333088599504e+01	6.376738e-02
1.373333146090912e+01	6.367413e-02
1.373333261073729e+01	6.359397e-02
1.373333289819433e+01	6.363167e-02
1.373333361683693e+01	6.392433e-02
1.373333390429397e+01	6.431838e-02
1.373333447920806e+01	6.576715e-02
1.373333462293658e+01	6.678692e-02
1.373333491039362e+01	7.105212e-02
1.373333498225788e+01	7.314357e-02
1.373333500022395e+01	7.394584e-02
1.373333503615607e+01	7.639910e-02
1.373333510802033e+01	8.392257e-02
1.373333512460045e+01	8.728612e-02
1.373333515776070e+01	9.823452e-02
1.373333516605076e+01	1.030833e-01
1.373333518263088e+01	1.178029e-01
1.373333518595781e+01	1.221598e-01
1.373333519261166e+01	1.350583e-01
1.373333520102113e+01	1.562068e-01
1.373333520827159e+01	1.741068e-01
1.373333521647185e+01	1.867597e-01
1.373333522200639e+01	1.896477e-01
1.373333522768073e+01	1.898118e-01
1.373333523385026e+01	1.884567e-01
1.373333524021070e+01	1.847096e-01
1.373333524659426e+01	1.812232e-01
1.373333525255424e+01	1.823064e-01
1.373333525942157e+01	1.883839e-01
1.373333527315621e+01	2.019565e-01
1.373333528495669e+01	2.090329e-01
1.373333529929685e+01	2.119934e-01
1.373333531791918e+01	2.129436e-01
1.373333534778315e+01	2.131632e-01
1.373333539015992e+01	2.131896e-01
1.373333547491345e+01	2.132191e-01
1.373333564442051e+01	2.132794e-01
1.373333598343463e+01	2.133989e-01
1.373333666146288e+01	2.136379e-01
1.373364697848783e+01	3.187915e-01
1.373395729551278e+01	4.184858e-01
1.373426761253774e+01	5.127208e-01
1.373457792956269e+01	6.014964e-01
1.373488824658765e+01	6.848128e-01
1.373519856361260e+01	7.626698e-01
1.373550888063755e+01	8.350675e-01
1.373596602349470e+01	9.333222e-01
1.373642316635184e+01	1.024602e+00
1.373688030920898e+01	1.108907e+00
1.373733745206612e+01	1.186236e+00
1.373779459492326e+01	1.256591e+00
1.373825173778040e+01	1.319971e+00
1.373870888063755e+01	1.376375e+00
1.373916602349469e+01	1.428422e+00
1.373962316635183e+01	1.476797e+00
1.374008030920897e+01	1.521500e+00
1.374053745206611e+01	1.562532e+00
1.374099459492325e+01	1.599892e+00
1.374145173778040e+01	1.633580e+00
1.374190888063754e+01	1.663597e+00
1.374228030920897e+01	1.686425e+00
1.374265173778039e+01	1.707901e+00
1.374302316635182e+01	1.728025e+00
1.374339459492325e+01	1.746796e+00
1.374376602349468e+01	1.764214e+00
1.374413745206610e+01	1.780280e+00
1.374450888063753e+01	1.794994e+00
1.374460888063753e+01	1.798933e+00
1.374462138063753e+01	1.799351e+00
1.374462450563753e+01	1.799452e+00
1.374463778688753e+01	1.799956e+00
1.374463817751253e+01	1.799971e+00
1.374463895876253e+01	1.800000e+00
1.374464052126253e+01	1.800059e+00
1.374511150340539e+01	1.816807e+00
1.374558248554824e+01	1.832370e+00
1.374605346769110e+01	1.846751e+00
1.374652444983396e+01	1.859948e+00
1.374699543197681e+01	1.871961e+00
1.374746641411967e+01	1.882791e+00
1.374793739626253e+01	1.892438e+00
1.374842311054824e+01	1.901604e+00
1.374890882483395e+01	1.910114e+00
1.374939453911967e+01	1.917968e+00
1.374988025340538e+01	1.925166e+00
1.375036596769109e+01	1.931707e+00
1.375085168197680e+01	1.937593e+00
1.375133739626252e+01	1.942822e+00
